Description,Food,Service,Atmosphere,Price,labe
The only issues I had were with the amount of time to get our food and that they forgot one of our orders. I’ll probably return because of the friendly staff and good food.,1,1,0,0,1
Food was good. Service was pleasant & timely. But I thought a little pricey & I thought portions on the smaller side. Mayb I’m just use to Suffolk Co prices.,1,1,0,1,1
Great service and excellent foods like their empanadas.,1,1,0,0,1
Food is great and service excellent.,1,1,0,0,1
My daughter and I had the most delicious dinner and the service was wonderful.,1,1,0,0,1
Awesome food and service in a relaxed environment .,1,1,1,0,1
The food is well prepared and presentation is was very nice. The owner comes out to help customers and provide explanations about the food and wine choices. I would definitely go back .,1,1,0,0,1
It was truly delicious !!! It had such a welcoming atmosphere and if that doesn't do it for you ... The waiters are very nice and hospitable. The chef Mr. Carlos is a delight and very passionate about the dishes on his menu which is a welcome change to just going to a restaurant and not engaging with the chef or the waitors. My husband and I really enjoyed our experience here.,1,1,1,0,1
Excellent food and service!,1,1,0,0,1
Wonderful!!,0,0,0,0,1
Great food.,1,0,0,0,1
Great service and food,1,1,0,0,1
Absolutely love Vinoco!!! The food and service is always over and above what’s expected.,1,1,0,0,1
"We love vinoco, the food and service are the best!!!",1,1,0,0,1
The mango shrimp quesadilla alone was worth going back for!  Service excellent.  The fried iris were also excellent.,1,1,0,0,1
"The food was amazing and the service was great. The restaurant is pretty small with a limited number of seats, but the food is definitely worth the wait. For an added bonus, try the desert empanadas.",1,1,1,0,1
"Always enjoy myself hear, great food, beautiful ambiance and the best service in LI. The hostess/waiter made the visit extra special.",1,1,1,0,1
"Love the food, the ambience, and the music!",1,0,1,0,1
Great food,1,0,0,0,1
Service and food was outstanding.  Will definitely go back.,1,1,0,0,1
Just ok,0,0,0,0,0
Great little local restaurant food is delicious!,1,0,0,0,1
Great place; quiet; changes menu seasonally; tapas,0,0,1,0,1
The food was excellent as well as the service. I would definitely recommend and return.,1,1,0,0,1
"The food is good, but the service needs improvement.  One server is tending to 8 tables in the small restaurant.  It took a while for the server to take our order, however, the food came out quickly.  There is a help wanted sign on the front window.",1,1,0,0,0
Waitstaff very attentive and friendly.  The good was great.,1,1,0,0,1
"My server was. Excellent ,friendly. Good was super. Great. Time. Highly recommend  this place",1,1,0,0,1
Always so good. I’ve visited twice this year already. This was my 3rd time and could actually use the Groupon. I always forget about it. Such a great spot with fantastic flavors. Great service.,1,1,1,0,1
"The food was amazing and the service was both friendly and efficient.  I highly recommend the empanadas, each one we tried was delicious and the fried oreos for dessert was a great way to end the evening.",1,1,0,0,1
Great food and fantastic service! Will definitely be going back.,1,1,0,0,1
"Great food, atmosphere , and service.  Definitely a return for us..",1,1,1,0,1
Amazing food and staff!,1,1,0,0,1
great food !!,1,0,0,0,1
Love this place,0,0,0,0,1
Vinoco was an amazing experience. I went with family and each of us kept saying that we would definitely come back. Our server Joe made us feel welcome and gave excellent recommendations. I had an issue with one of the dishes we ordered and Chef Roman immediately fixed up another dish. I will recommend this place to every person I know. Great tapas place to impress people with!,1,1,0,0,1
"Excellent service, delicious food and wine, nice ambience! The empanadas are stand out! Would definitely return!",1,1,1,0,1
Love this place. Excellent service and even better food.,1,1,0,0,1
Food was absolutely amazing!  Everything we had was delicious.  We will definitely be back all the staff was also very friendly.  Our server Joe made excellent recommendations off the menu.  100% go here!!!,1,1,0,0,1
Very delicious food and great service. Highly reccomend.,1,1,0,0,1
"Great, eclectic cuisine. Service was terrific as well. The seafood paella was incredible.",1,1,0,0,1
Delicious as usual!,1,0,0,0,1
Fantastic food and service as always.,1,1,0,0,1
Food and,1,0,0,0,1
Excellent dining experience. Food is outstanding and authentic,1,0,0,0,1
Amazing place,0,0,0,0,1
Amazing empenadas and churros,1,0,0,0,1
"we ordered dinner take out as this was part of the option in the groupon we purchased. Vinoco gave us such hard time for redeemed the groupon when we placed the dinner order to go via telephone. we explained and read the fine print on the groupon to them. after 10 mins, the manager from Vinoco ""approved"" the order. However, they gave us more hard time when we pick up the food. We presented a print out of groupon and was told it was not good enough. They insist to see a copy of e mail confirmation from groupon for this purchase which I never had to do so with other vendors. Vinoco acted like they do not wanted to accepted the groupon. After some very frustrated exchange with Vinoco, they final accepted the groupon. NEVER AGAIN!",0,1,0,0,0
Fabulous empanadas and sangria!  And an outdoor patio!,1,0,0,0,1
"The service was excellent by Hugo. The quality of the food & flavors wonderful. We had 4 dishes each had different flavors that were vibrant.Can't wait to go back. Menu is very diverse & flavorful.

Only issue for some would be bathroom isn't ADA handicap accessible.Toilet very low & paper very high with no grip bar either.",1,1,0,0,1
The food was outstanding and the staff is wonderful.,1,1,0,0,1
Always delicious!,1,0,0,0,1
"We had a groupon for vinoco & decided to use it the other night. It was 7:45 & we called to see what time the kitchen closed, they said 9pm so we stopped in to get a quick bite & drinks. We walked in the door & were “greeted” by a nasty man who didn’t say hello he just said “we close at 9”. We couldn’t believe how rude that was. The sangria was rancid so we sent it back. Will never come back here.",0,1,0,0,0
Delicious,1,0,0,0,1
Food was good and sangria was ok,1,0,0,0,1
Always excellent,0,0,0,0,1
Great food and prompt service! Unique variety of tapas. Definitely worth a try. Will go back!!,1,1,0,0,1
"Great tapas, empanadas are good as well as the sangria. I recommend sticking to their small plates. We had the paella and it wasn't that good especially when compared to the tapas",1,0,0,0,1
Great food. And Hugo is there to make your dinner experience very pleasant. Thank you Hugo!!,1,1,0,0,1
"Cute place with friendly, helpful staff, good tapas and a nice sangria and wine list.",1,1,0,0,1
This place is super cute and the ambiance is cozy. The food and sangria were amazing and the service was great too! We'll definitely be going back.,1,1,1,0,1
Cute little restaurant with an interesting eclectic menu. Nice sangria excellent empanadas great assortment of skewers nicely spiced. Good service. Will definitely visit again.,1,1,0,0,1
"The Service was excellent and the Sangria delicious. Just the food is absolutely overpriced and not to recommend. We got a ""grill platter for 2"" which had in total 9 skewers with two little meat pieces each on it and 4 little pieces of yucca and a few fries.Very small portions and the menu has a  weird mix for a wine bar. Empanadas, potstickers, rolls, .... The name Wine Bar & Tapas is misleading.",1,1,0,0,0
"Food is great, wine selection is fantastic. Atmosphere is perfect for date nights. Will be going back",1,0,1,0,1
"WE ARE REPEAT CUSTOMERS, LOVE YOU HUGO!",0,0,0,0,1
Good service. The empanadas were delicious.  We had the parrillada and it grilled perfectly.,1,1,0,0,1
Delicious food...great waitress...lovely ambiance...terrific sangria!,1,1,1,0,1
Great food.  Good sangria.  Service can be faster.,1,1,0,0,1
Great food served with a smile and amazing watermelon sangria. Tapas style allows you to try a variety of items including empanadas and daily specials.,1,1,0,0,1
Very good Tapas and the service was fine.,1,1,0,0,1
Great tapas! Cute place and great service!,1,1,1,0,1
Tapas are excellent and the staff is consistently friendly and helpful. A favorite place for a lighter meal.,1,1,0,0,1
Empanadas are delicious ! Mushroom Mac and cheese is to die for !!!,1,0,0,0,1
"So I finally got excited for finally a girls night out as it has been over a year of dinner and drinks. 

Found this place from Yelp and it showed good reviews - great thing was there was also a Groupon for this - I felt like a winner. 

Well 1st off I did not feel like a winner when we got there. The place had some people but for a Saturday it was definitely light. 

The waiter we had seemed very flustered and very aggressive when he spoke which is not what you want from a waiter. We asked for recomendations on which Sangria's tasted good and the comment was kind of rude.. Comment was similar to Well the Sangria has to be good since its on the top of the menu.. 

Umm well not everything on the top of the menu means its good... 

So I ordered the Red Sangria and my other girlfriends ordered the white.
When the drinks came - boy was the taste a hit in the face. Not sure if it was the apples or something but it was bad - the apples tasted like moldy dish towels and the wine had that hint of taste too. It was pretty bad - we downed it anyways because our rule was to never waste alcohol. 

After that drink i just stuck it out with an old fashion glass of red wine. 
My girlfriend decided to still get fancy and try a flight of white - which when she asked if it was good - he said Yeah its white wines and thats why its on our board.. 

We then just wondered if thats just his personality to be snarky.

Food wise - things ordered:

HAM & TRUFFLED MUSHROOM FLATBREAD - really good, definitely enjoyed this the most

Steak Roll - was pretty tasty as well

PARRILLADA BOARD - skewers were ok - an we think there was a sausage (Chorizo) skewer which lacked flavor in all ways - tasted like it was boiled to death and left in water to lose even more flavor. 

One other note. The Groupon I purchased stated very clearly ""$40 Value Worth of Tapas: Valid Any Day, Dinner Only"". When I showed it to him he said ok no problem, I need the Groupon now. I had no problem giving it to him but when I mentioned oh today is Saturday - buy 1 drink get the other 1/2 off - he said oh you don't get that promotion because your using Groupon...In my head I said Ummm WTF! The Groupon clearly states on TAPAS.... but I decided not to fight it as I wanted to have a good night.

I was really hoping to find a nice tapas place closer to me but i guess the search will still remain.

I would not be coming back as I know places that are much better and less expensive.",0,0,0,0,1
Great Food. Friendly Staff. Wonderful Sangria !,1,1,0,0,1
The best tapas!,1,0,0,0,1
"Nice place, great food and service. The seafood paella was great. Highly recommended!",1,1,0,0,1
"Joe was the best! His service and attenation was just right and he kept us immersed in fabulous food and wine. Definetly going back to try more menu items. Beautiful blend of food creations with spices, herbs and savory sauces. My compliments to the chef!!",1,1,0,0,1
Lovely n gracious service. Seafood paella very good..enough for 3 adults as main course. Nice Sangria n empanada dessert item great. Varied menu.,1,1,0,0,1
It's a very pleasant restaurant with good service.  Menu is very creative.  Flavors are well balanced.,1,1,0,0,1
Excellent food and ambience and the staff was friendly and took the time to make some recommendations about the food and wine,1,1,1,0,1
Warm welcome and very accommodating. Our waiter was one of the best waiters we ever had! Gladly explain menu and made great recommendations. The food was great and the sangria was on point. I will definitely go back again,1,1,0,0,1
Amazing food and service.  Save room for dessert as the Oreos are to die for!,1,1,0,0,1
Amazing service and great food for a great price. Definitely going back again!,1,1,0,0,1
"Food was VERY over priced and wasn't very good at all. We ordered the chicken and chorizo paella. The pieces of chicken were very fatty and the chorizo was not a good chorizo, it was almost tasteless. They definitely DO NOT use high quality products although their prices would make you think otherwise. Not worth it without the groupon, thats for sure. The service was good so that is the only reason why I gave 3 stars.",1,1,0,1,0
"Food was delicious and the staff was very accomodating. The empanadas, skewers and fried oreos are my favorite ",1,1,0,0,1
Very nice staff and amazing food .,1,1,0,0,1
the food the setting the atmosphere the service everything about it was excellent,1,1,0,0,1
"Friendly staff, very good food and a nice place to ejoy it in!",1,1,1,0,1
"We enjoyed the food very much and the service wonderful. Our waiter was sweet and accommodating. We sat out on the patio which has a nice, simple charm to it.  The only negative was that the Sangria wasn't the best I have ever had. We had the red and it was just missing something.  Definitely needed more fruit.  But overall I highly recommend Vinoco.",1,1,0,0,1
The food is really good and the staff  there was so nice.,1,1,0,0,1
Good food. Nice staff. Crowded. Noisy. Had to wait a bit for the food. Smallish portions on some orders but delicious.,1,1,1,0,1
Excellent food and service,1,1,0,0,1
Great food and service! Defintely will go back!,1,1,0,0,1
"Amazing food, excellent service (top notch), great ambience",1,1,1,0,1
"Amazing food, amazing service! Lindsey totally took care of us, she was awesome!",1,1,0,0,1
"Repeat customer, fabulous food and service!",1,1,0,0,1
The service was great. The food looked fabulous and tasted delicious! We will definately be back.,1,1,0,0,1
The food and services were great. I would visit this restaurant again.,1,1,0,0,1
Great wait staff and incredible food. Good value too,1,1,0,0,1
"Been here many many time5! Food and service is always great!! Thank you, Hugo!!",1,1,0,0,1
"Awesome food, great service, A+",1,1,0,0,1
Great!!!! Excellent food and service!! I always leave happy and full.,1,1,0,0,1
"Excellent food, very good service. Small place",1,1,0,0,1
"The ambiance at Vinoco is perfect for a romantic date night!  Not only was the waitstaff very attentive, but the food was absolutely delicious!  I would highly recommend the 3 fish tacos -- it's an entree composed of a perfect mix of flavors!  We will definitely be visiting Vinoco again in the future!",1,0,1,0,1
"Good food and friendly, quick service",1,1,0,0,1
Good service and food,1,1,0,0,1
The food is interesting and very good and the service is very nice,1,1,0,0,1
Very nice staff,0,1,0,0,1
Great food and service,1,1,0,0,1
Great customer service! Food was so flavorful!!!,1,1,0,0,1
"Good empanadas and sangria. Caters to meat-eaters,vegetarian and pescetarians.Great local spot!",1,0,0,0,1
The steak skewers are my favorite and we tried the steak tacos this time and they were fabulous.,1,0,0,0,1
Staff very friendly and made for a comfortable experience.,0,1,0,0,1
"Absolutely amazing food, service was great than deteriorated after the food was served.",1,1,0,0,1
"A little expensive for the portion they give you... nice place though, good service, and good flavors",1,1,0,1,1
"The atmosphere was lovely, our waiter, Joe, was knowledgeable, helpful, and offered just the right amount of attention, and the food and wine were superb!! Will definitely return and tell others about the place.",1,1,1,0,1
The food is always different & delicious!,1,0,0,0,1
Food was great! Quick service. Will return!,1,1,0,0,1
"Awesome food, always something new...the presentation of the food is terrific...I've already been here quite a few times, has never disappointed",1,0,0,0,1
Excellent food.,1,0,0,0,1
"The shrimp mango quesadillas was awesome.  White sangria was yummy.  Steak roll and fish tacos were also very good.  But the icing on the cake was the live music of classic rock and roll.   Overall, very pleased and would come back.",1,0,0,0,1
Excellent selection of yummy foods!,1,0,0,0,1
Food was amazing,1,0,0,0,1
"Food was yummy, very relaxed atmosphere.",1,0,1,0,1
"Ordered fish tacos, skewers and empanadas. Prices were high for the quality and portion sizes",1,0,0,1,0
Lots of food for the money & great sangrias too,1,0,0,1,1
Amazing Tapas! Staff is amazing and very helpful!!,1,1,0,0,1
"If you want tapas that is tasty and very different
Try this one. Small place and loud.great service.",1,1,1,0,1
"This was our first visit.  Everyone was so friendly.  The Tapas were excellent, at least the ones my wife and I had, which were quite a few.  Will definitely be back, even though it is a 37 mile drive from home and will recommend it to all of our friends.  Thanks to all, especially one of the owners who made us feel at home.",1,1,0,0,1
"The food was beyond wonderful and very creative Love the menu! Even the Sangria's are special and DELICIOUS!
The service was attentive but not overly intrusive 
I can't wait to go back and try the rest of the menu! A definite winner",1,1,0,0,1
"Very cozy place The food is delicious and the sangria is great too There was an issue with a power line outside while I was there and the staff made sure that all the customers were taken care of during this time It was a very well managed place, I will definitely return",1,1,0,0,1
"Excellent food, so many different things to choose from & sangria was very yummy!",1,0,0,0,1
I would highly recommend this restaurant. The food and speciality sangria was amazing and the staff was very friendly and helpful.,1,1,0,0,1
Have ordered from here with vouchers several times.  Food always good - my vegetarian daughter very much enjoys veg paella.  Staff friendly.  Would go again ...,1,1,0,0,1
Always a pleasure. The staff are so friendly and accomodating:),0,1,0,0,1
"Delicious food, friendly staff and the BEST chef around",1,1,0,0,1
Great ceviche and empanadas!,1,0,0,0,1
This place is fabulous - the empanadas are delicious!!,1,0,0,0,1
all the empanadas are delicious - my favorites: the pulled pork and the mushroom w truffle oil,1,0,0,0,1
Great place and service.,0,1,0,0,1
"Food was excellent, service was friendly and attentive - our 2nd time there, looking forward to our next time.",1,1,0,0,1
Very creative and delicious food! Delicious white sangria. We had the ropa vieja quesadillas that were amazing and great paella that had a creamy texture like risotto. Will def be going back.,1,0,0,0,1
Delicious food and fast service.,1,1,0,0,1
"Food was amazing , service was great,our second time there we can't wait to return!!",1,1,0,0,1
The paella is amazing!!!,1,0,0,0,1
"Would definitely recommend. Paella, octopus and sangria were delicious!",1,0,0,0,1
"I've always wanted to try this place on Mineola Blvd but never went in. I purchased a groupon and went out to dinner with a friend. We each had a glass of wine ordered 4 tapas plates, dessert, and cappachinos. We would've been fine with 3 tapas and the waiter did try to warn us but we got carried away lol. We had empanadas, mushroom mac and cheese, meat skewers and seafood paella.",1,0,0,0,1
"Food was good, service was lackluster. I was here a couple of months ago with friends without a groupon and the service was great, so I hope that's not why the service was not so great this time. The waiter seemed pretty uninterested after he found out we had the coupon. The food is pricy for the quality so I'm not going to go back to see if the service would be getter. Overall I wish I hadn't bothered.",1,1,0,0,0
Decent food and sangreia. Service was not very good. My wifes food came out 15 minutes before mine. After eating it took 25 minutes for the server to realize we existed. Another server did not even offer a menu to another table and said they only have whats on the board.,1,1,0,0,0
Service was good food was ok but way too expensive for what they gave and wasnt the size that was pictured.wouldnt go back.,1,1,0,0,0
"Nothing new, like always amazing!!",0,0,0,0,1
Absolutely Delicious!,1,0,0,0,1
Always good food here and great service!,1,1,0,0,1
Every time the food has been amazing and the guy there is so nice,1,1,0,0,1
The atmosphere  was Relaxing The merchant was very educational.,0,0,1,0,1
Excellent food and services. I went there with my friends we all had good time there.,1,1,0,0,1
"Love this place! Food is delicious, the fried oreos are my favorite.",1,0,0,0,1
Food vero good but han to wait 40 minutes to be serve,1,1,0,0,1
"Amazing food and the staff is extremely nice. Specially Hugo, he's wonderful!! 
I Highly recommend this place!",1,1,0,0,1
Excellent veggie paella.  Very attentive wait staff.  Very enjoyable all around.,1,1,1,0,1
"We had a wonderful meal; tried two, new to us, selections on the menu, and as usual, delicious. Hugo and other staff so pleasant; always professional, friendly and make you glad you came there.  😀😀😀😀😀",1,1,1,0,1
The food and the service were outstanding..,1,1,0,0,1
Menu was varied and appealing. Tacos were very tasty. The meat skewers were succulent. Paella was yummy too. Sangria was nothing special but they served in in a large glass. Shrimp mango quesadilla was great. Empanadas were very good. The shell was light and fillings very flavorful,1,0,0,0,1
The menu is confusing and overwhelming. It was more simple before,0,0,0,0,0
"Tasty food, friendly good service",1,1,0,0,1
"I never write reviews, but this place is amazing",0,0,0,0,1
A very warm and cozy place with appetizing tapas,1,0,1,0,1
"One of my favorite places to dine. AMAZING FOOD, great sangria. Friendly staff, comfy ambience.",1,1,1,0,1
Service excellent food delicious greatvtime,1,1,0,0,1
The ambiance is superb. The food is delicious and and the staff is charming.  Will be going back again and again and have told all of my friends. I know they will love it as much as I do.,1,1,1,0,1
"Great food, amazing costumer serv",1,1,0,0,1
Honestly the place didn't look that nice but the food was amazing !,1,0,0,0,1
Excellent!,0,0,0,0,1
"Fish tacos are excellent, as well as the skewers.",1,0,0,0,1
Great place to have a meal.....,0,0,0,0,1
"I saw this offer on Groupon and we decided to try it. It was a great decision. We had some really delicious food and the service was great. I highly recommend the empanadas. They have 3 special flavors everyday. We got all 3 and they were great. We ordered a main dish we shared that had steak, chicken and chorizo and it was great. Save room for dessert. The fried Oreos are a must ! Plus they have delicious dessert empanadas that we loved as well. Don't hesitate go have a great meal!",1,0,0,0,1
Love the food!,1,0,0,0,1
Fun place food was ok.,1,0,1,0,1
"Food was excellent, and the service was just as great. Dessert empanadas are a MUST!",1,1,0,0,1
Great service and great food. They were awesome with a gluten allergy at the table. Portions were larger than expected. Deep fried Oreo Dessert and the fish tacos were 11/10.,1,1,0,0,1
Red and white sangria was delicious and service was excellent. Food was good but needs more variety.,1,1,0,0,1
Food was made fresh and was delicious tasting when you leave you must buy the fried Oreos they are out of this world,1,0,0,0,1
"Service was amazing, food was even better",1,1,0,0,1
Food was delish and staff was great! It's expensive so bring your wallet and appetite,1,1,0,1,1
The best tapas.,1,0,0,0,1
Very nice place food great and service went during week heard weekends are pack,1,1,0,0,1
"All of our food was beyond delicious. Unfortunately because most of the plates are tapas sized, the portions were too small given the cost of each dish. Even with our $40 coupon, we still paid $60 for our 4 dishes, 2 drinks, and tip. If the prices were lowered or the dishes were to grow in size, I wouldn't hesitate returning, but for now I simply can't justify the cost.",1,0,0,1,1
Amazing!!!,0,0,0,0,1
Joe was very helpful in finding me a vegan option (falafel lollipops)- much appreciated! My (non-vegan) BF loved the skewers,1,1,0,0,1
Always delicious!,1,0,0,0,1
"Been there more than once ... I've been partial to  the shrimp dish (but I ordered without the sausage), the dos hummus plate was quite overpriced  and the best part of the meal was nibbling from all the various desserts I tried.  Wine adds up to a big chunk of bill - maybe I'll order a bottle next time ...",1,0,0,1,1
People were nice but servings way too small-had to go eat across the street after brunch,0,1,0,0,1
Our favorite place. Always a special meal!,1,0,0,0,1
Always excellent!,0,0,0,0,1
"Hugo was magnificent... He knew the menu so well, and was very fun to talk with.",0,1,0,0,1
"Me and my girlfriend had an exceptional time. Thankyou to Hugo our server. He was a great host, vey personable and genuinely eager to make sure we were completely satisfied. We drove an hour away but it was completely worth it. It is very rare to find employee such as himself. Hugo thanks to you, we will definitely be returning!!",0,1,0,0,1
Met my mom & aunts there for a ladies night out. Had an awesome time. Food was great & service was on point. We'd all definitely go back.,1,1,0,0,1
Amazingly delicious food and friendly staff!! Def a must go if you love good food!!,1,1,0,0,1
Awesome food combined with a great atmosphere,1,0,1,0,1
Everything is awesome,0,0,0,0,1
Great food,1,0,0,0,1
Everything is delicious!,1,0,0,0,1
Took my vegetarian daughter to share my voucher and the waiter (maybe the owner?) was very helpful to find dishes she could order ... and he steered us into getting fried Oreos (WOW!) and some super yummy cinnamon pastries with dipping sauces.,1,1,0,0,1
Excellent meal . Great drinks. Beef empanada was fresh and tasty. Owner very friendly and accommodating. Recommend pate seating.,1,1,0,0,1
Tasty small bites -not so small!,1,0,0,0,1
Interesting and very good food,1,0,1,0,1
"great place, great food excellent service",1,1,0,0,1
The fried Oreos are amazing. The peanut butter cup empanadas are also great. Mango shrimp quesadilla was very good.,1,0,0,0,1
"Our first time dining at Vinoco and we were very pleased with everything. Food was excellent , We ordered the pork adobo empanadas, the fish tacos and the chicken and steak skewers for our main meal and Churos and coffee for dessert. 

Atmosphere was pleasing, Great guitar playing singer, Kurt, sang nice dinner background  songs. 

Our server, Hugo, was attentive and friendly, helpful with suggestions. 
All combined it made for a fun and enjoyable dining experience. Would absolutely recommend and we are looking forward to our next visit, we already have our meals picked out.",1,0,0,0,1
Absolutely delicious food!,1,0,0,0,1
An absolutely great place.  Food was delicious.,1,0,0,0,1
This place is a gem! The food is incredible!,1,0,0,0,1
Best Tapas on Long Island. Great staff and service. Felt like I was eating in New York City...simply awesome.,0,1,0,0,1
"The octopus, avoocado, rice roll was amazing. The service was very warm and friendly",1,1,0,0,1
"Good food, great service!! Will definitely go back again",1,1,0,0,1
"Nice Atmosphere, food was pretty good. Wine selection wasn't that great. The waiter was attentive and brought the food very fast",1,1,1,0,1
Everything eas delicious,1,0,0,0,1
The food is amazing! I would defiantly recommend going here!,1,0,0,0,1
Delicious and the owner and staff were fabulous !!,1,1,0,0,1
great ever changing menu will keep you coming back. This is certainly the type of place where you share everything with the table.,0,0,0,0,1
great place....service is right on .,0,1,0,0,1
It's an excellent restaurant with wonderful service. I heartily recommend Vinoco,0,1,0,0,1
Try everything,0,0,0,0,1
"Very good food, deceptive in the amount (lots).  Artfully presented.  Will be returning.",1,0,0,0,1
Great food and wonderful service! The food was full of flavor and presented beautifully.  The waiter was SO nice! Definitely highly recommend,1,1,0,0,1
Food was great and service was too!!,1,1,0,0,1
Good food and service 👍,1,1,0,0,1
Small place with good food and service but they push you to buy the must expensive wine and entrees.,1,1,0,1,1
sangria sucks food rocks,1,0,0,0,1
Outdoor seating in the back when weather is pleasant,0,0,0,0,1
great place for wine & tapas,0,0,0,0,1
Awesome food!  Don't miss this place!,1,0,0,0,1
nice date night location,0,0,0,0,1
very helpful waitstaff,0,1,0,0,1
"Love this place, food is always good!",1,0,0,0,1
Food was inventive and delicious!!,1,0,0,0,1
"A little pricey but the food was excellent, we took kids but won't the next time lol",1,0,0,1,1
The food and service was vry njoyabl,1,1,0,0,1
Get there hungry!  The food is delicious and filling,1,0,0,0,1
Great food and friendly staff!,1,1,0,0,1
It was delicious!!,1,0,0,0,1
Very accommodating Excellent food and service!!!,1,1,0,0,1
Wear your eating pants!,0,0,0,0,1
"Service is amazing, owner even checks on table throughout dinner.  Food was great!  Set menu plus delicious daily specials. Empanadas not to be missed!",1,1,0,0,1
"The food was outstanding  Service was very good!  Will definitely go again  Try the ropa vieja empanadas, they are delicious!",1,1,0,0,1
Try to go when there is live music it adds to the experience,0,0,1,0,1
Sit on the patio if it's a cool night.,0,0,1,0,1
Phenomenal food and drinks! Love this place!,1,0,0,0,1
"Great little hidden Gem, not a big selection but for the menu they do have is great. 
Mixed Skewers were good
Empanada (chicken or Spanish sausage)
Drinks were just as good 
Would highly recommend and they also have Live Music every wednesday",1,0,0,0,1
Great sangria and a tasty menu with interesting flavor combos,1,0,0,0,1
Food is delicious & service is very friendly.,1,1,0,0,1
"This place is amazing!!!!!Every dish is better than the next!!!!  I am confident that everyone will find their favorite meal here!!!! Staff is great, drinks are great, food is great 
Enjoy!",1,1,0,0,1
Everything we tried was delicious,1,0,0,0,1
Love the food here. The Tappas are full of amazing flavors. A lot of wonderful different choices on the menu. The Sangria is delicious. Paella is wonderful. The staff is great. I've never left disappointed. Every time I go I try something new.,1,1,0,0,1
The paella is surprisingly good!,1,0,0,0,1
Try the daily specials,1,0,0,0,1
"Amazing food, service was great, loved the ambiance. I would def go again",1,1,1,0,1
order a few items from the menu to start,1,0,0,0,1
Unusual small plates are beautifully presented and the service was great. Vanilla Sushi-viche was outstanding.,1,1,0,0,1
Great food; lousey parking before 6:00 pm. Everything is metered.,1,0,0,0,1
Try the Empanadas!!,1,0,0,0,1
Fabulous!!!!,0,0,0,0,1
Food is excelent and only outdone by their top notch and inviting staff as well as the owner Carlos being an incredible chef....it is a delight to dine there!!,1,1,0,0,1
Empenadas are amazing,1,0,0,0,1
"Wonderful experience. The waiter, all servers and the chef went out of their way to take care of us.  Beautiful presentation that matched the taste!",1,1,0,0,1
Everything was incredible. Food was amazingly delicious and hospitality was top of the line!,1,0,0,0,1
Plates are very small. Food is good. It reminded me of a mexica restaurant than Tapas & wine bar. Overall ok.,1,0,0,0,1
It was very nice and the food is small. But good. The people are so so nice.,1,1,0,0,1
"Very kind and pleasant service.
Skirt steak skillet is delicious.",1,1,0,0,1
Excellent food and service!! I will surely return!,1,1,0,0,1
